cycle,entity_type,entity_id,entity_name,entity_subtype,party_label,party_score_dem,party_score_rep,lean_dem_amt,lean_rep_amt,mixed_amt,unknown_amt,lean_measure_total,coverage_total,coverage_ratio,classification_method,classification_source,scope
2024,committee,C00669259,FF PAC,V,D,1.0,0.0,509331896,266639,0.0,0.0,509598535,509598535,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00825851,MAKE AMERICA GREAT AGAIN INC.,O,R,0.0,1.0,33190076,336823808,0.0,0.0,370013884,370013884,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00865444,WINSENATE,O,D,1.0,0.0,311285447,0,0.0,0.0,311285447,311285447,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00571703,SENATE LEADERSHIP FUND,O,R,0.0,1.0,0,207905503,0.0,0.0,207905503,207905503,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00504530,CONGRESSIONAL LEADERSHIP FUND,W,R,0.0,1.0,1425793,200973016,0.0,0.0,202398809,202398809,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00495028,HMP,W,D,1.0,0.0,199893371,0,0.0,0.0,199893371,199893371,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00879510,AMERICA PAC,O,R,0.0,1.0,245111,172784111,0.0,0.0,173029222,173029222,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",V,R,0.0,1.0,11404296,148322725,0.0,0.0,159727021,159727021,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00878801,PRESERVE AMERICA PAC,O,R,0.0,1.0,0,112321876,0.0,0.0,112321876,112321876,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00828061,"SFA FUND, INC",V,Mixed,0.353734898622903,0.646265101377097,28942802,52877799,0.0,0.0,81820601,81820601,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00000935,DCCC,Y,D,1.0,0.0,74321485,0,0.0,0.0,74321485,74321485,1.0,filed_committee_party,party_field,all_committees
2024,committee,C00867036,RIGHT FOR AMERICA,O,R,0.0,1.0,0,69583226,0.0,0.0,69583226,69583226,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00487363,AMERICAN CROSSROADS,O,R,0.0,1.0,0,60267472,0.0,0.0,60267472,60267472,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00492140,AB PAC,V,D,1.0,0.0,58551561,0,0.0,0.0,58551561,58551561,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00836221,DEFEND AMERICAN JOBS,O,R,0.0,1.0,1531013,56029955,0.0,0.0,57560968,57560968,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00844613,WIN IT BACK PAC,O,R,0.0,1.0,9101411,44675510,0.0,0.0,53776921,53776921,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00486845,LCV VICTORY FUND,O,D,1.0,0.0,48347674,575,0.0,0.0,48348249,48348249,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00849489,KEYSTONE RENEWAL PAC,O,R,0.0,1.0,1938809,46295310,0.0,0.0,48234119,48234119,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00804856,REPUBLICAN ACCOUNTABILITY PAC,O,D,1.0,0.0,44736370,155798,0.0,0.0,44892168,44892168,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00571588,RESTORATION PAC,O,R,0.0,1.0,0,42999830,0.0,0.0,42999830,42999830,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00042366,DSCC,Y,D,1.0,0.0,42855530,0,0.0,0.0,42855530,42855530,1.0,filed_committee_party,party_field,all_committees
2024,committee,C00835959,FAIRSHAKE,O,Mixed,0.3057240689982398,0.6942759310017602,11734060,26647151,0.0,0.0,38381211,38381211,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00834077,NEVER BACK DOWN INC.,O,R,0.0,1.0,5377463,32386943,0.0,0.0,37764406,37764406,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00799031,UNITED DEMOCRACY PROJECT ('UDP'),O,Mixed,0.42571442911103746,0.5742855708889625,15471622,20871102,0.0,0.0,36342724,36342724,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00848440,PROTECT PROGRESS,O,D,1.0,0.0,34299094,238152,0.0,0.0,34537246,34537246,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00849729,LAST BEST PLACE PAC,O,D,1.0,0.0,33816221,0,0.0,0.0,33816221,33816221,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00075820,NRCC,Y,R,0.0,1.0,0,33566209,0.0,0.0,33566209,33566209,1.0,filed_committee_party,party_field,all_committees
2024,committee,C00609388,BLACKPAC,O,D,1.0,0.0,29424674,0,0.0,0.0,29424674,29424674,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00870030,MARYLAND'S FUTURE,O,R,0.0,1.0,0,27014713,0.0,0.0,27014713,27014713,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00473918,WOMEN VOTE,O,D,1.0,0.0,23624311,2548917,0.0,0.0,26173228,26173228,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00796045,TRUTH AND COURAGE PAC,O,R,0.0,1.0,0,25817635,0.0,0.0,25817635,25817635,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00881987,DUTY TO AMERICA PAC,O,R,0.0,1.0,0,23591123,0.0,0.0,23591123,23591123,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00027466,NRSC,Y,R,0.0,1.0,0,22045436,0.0,0.0,22045436,22045436,1.0,filed_committee_party,party_field,all_committees
2024,committee,C00853861,"GLCF, INC.",O,R,0.0,1.0,0,21184884,0.0,0.0,21184884,21184884,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00891291,RBG PAC,O,R,0.0,1.0,0,20476000,0.0,0.0,20476000,20476000,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00724203,SOMOS PAC,O,D,1.0,0.0,20409809,30339,0.0,0.0,20440148,20440148,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00693838,"MORE JOBS, LESS GOVERNMENT",O,R,0.0,1.0,114297,19784845,0.0,0.0,19899142,19899142,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00744920,CFFE PAC,W,D,1.0,0.0,19289623,0,0.0,0.0,19289623,19289623,1.0,candidate_facing_committee_activity,24k_contributions+ie_spending,all_committees
2024,committee,C00886614,YOUR COMMUNITY PAC,O,D,1.0,0.0,19112806,0,0.0,0.0,19112806,19112806,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00842344,BEST OF AMERICA PAC,O,R,0.0,1.0,0,19009953,0.0,0.0,19009953,19009953,1.0,candidate_facing_committee_activity,ie_spending,all_committees
2024,committee,C00487470,CLUB FOR GROWTH ACTION,O,Mixed,0.4226215940077825,0.5773784059922176,7280902,9947044,0.0,0.0,17227946,17227946,1.0,candidate_facing_committee_activity,ie_spending,all_committees
