cand_id,cand_name,cand_pty_affiliation,cand_election_yr,cand_office_st,cand_office,cand_office_district,cand_ici,cand_status,cand_pcc,cand_st1,cand_st2,cand_city,cand_st,cand_zip,party_dr,is_major_party,race_key,linked_committee_count,linked_principal_committee_count,linked_committee_ids,linked_committee_names,linked_committee_types,total_itemized_receipts,total_itemized_donors,tech_itemized_receipts,tech_itemized_donors,tech_itemized_contributions,tech_company_tags,tech_pct_itemized_receipts,ie_support_total,ie_oppose_total,tech_funded_ie_support_total,tech_funded_ie_oppose_total,ie_net_support,tech_funded_ie_net_support,has_principal_candidate_committee,has_finance_activity,is_display_candidate
S4AK00214,"SULLIVAN, DAN",REP,2026,AK,S,00,I,C,C00570994,3705 ARCTIC BOULEVARD #447,,ANCHORAGE,AK,99503,R,True,SEN-AK,3.0,1.0,C00027466; C00570994; C00609255,ALASKANS FOR DAN SULLIVAN; NRSC; SULLIVAN VICTORY,N; S; Y,54265208,47387.0,1121461,50.0,466,a16z; amazon; anthropic; coinbase; google; greylock; ibm; meta; microsoft; nvidia; oracle; palantir; qualcomm; tesla; uber,2.0666298745229175,0,15475,0,15475,-15475,-15475,True,True,True
H4CA12055,"KHANNA, ROHIT",DEM,2026,CA,H,17,I,C,C00503185,PO BOX 3513,,SANTA CLARA,CA,95051,D,True,HOUSE-CA-17,1.0,1.0,C00503185,RO FOR CONGRESS INC,H,8154981,2603.0,389888,100.0,202,a16z; accel; amazon; amd; anthropic; apple; benchmark; coinbase; google; greylock; groq; khosla; kleiner; meta; microsoft; netflix; nvidia; openai; oracle; palantir; qualcomm; ripple; salesforce; union_square_ventures,4.780979869848869,0,0,0,0,0,0,True,True,True
H6NY12214,"BORES, ALEXANDER",DEM,2026,NY,H,12,O,C,C00923706,1617 THIRD AVE,UNIT 286569,NEW YORK,NY,10128,D,True,HOUSE-NY-12,1.0,1.0,C00923706,ALEX BORES FOR NY,H,2175290,773.0,365150,87.0,138,amazon; anduril; anthropic; apple; google; ibm; meta; microsoft; openai; oracle; palantir; salesforce; x_twitter_spacex,16.78626757811602,0,1632151,0,0,-1632151,0,True,True,True
H8CA11116,"WIENER, SCOTT",DEM,2026,CA,H,11,O,C,C00909283,"312 CLAY STREET, SUITE 300",,OAKLAND,CA,94607,D,True,HOUSE-CA-11,1.0,1.0,C00909283,SCOTT WIENER FOR CONGRESS,H,2609769,1181.0,308903,87.0,143,amazon; anthropic; apple; google; ibm; meta; microsoft; netflix; openai; palantir; ripple; salesforce; stripe; tesla; uber; x_twitter_spacex,11.836411575124082,0,0,0,0,0,0,True,True,True
S6IL00482,"KRISHNAMOORTHI, S",DEM,2026,IL,S,,O,C,C00904466,1500 LOGAN STREET,,SCHAUMBURG,IL,60193,D,True,SEN-IL,1.0,1.0,C00904466,RAJA FOR ILLINOIS,S,9570153,4356.0,128526,42.0,61,a16z; accel; amazon; amd; anthropic; apple; coinbase; google; ibm; khosla; meta; microsoft; nvidia; oracle; palantir; ripple; salesforce,1.342987933421754,178621,720451,0,0,-541830,0,True,True,True
H8NY15148,"OCASIO-CORTEZ, ALEXANDRIA",DEM,2026,NY,H,14,I,C,C00639591,PO BOX 680080,,CORONA,NY,11368,D,True,HOUSE-NY-14,1.0,1.0,C00639591,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,H,6548239,20823.0,122660,318.0,1573,amazon; amd; apple; coinbase; google; ibm; meta; microsoft; netflix; nvidia; openai; oracle; qualcomm; salesforce; stripe; tesla; uber; x_twitter_spacex,1.8731753682173176,0,0,0,0,0,0,True,True,True
H6CO08013,"RUTINEL, MANNY",DEM,2026,CO,H,08,C,C,C00896670,PO BOX 1013,,COMMERCE CITY,CO,80022,D,True,HOUSE-CO-08,1.0,1.0,C00896670,MANNY RUTINEL FOR CONGRESS,H,1172897,1303.0,112425,36.0,61,amazon; anthropic; apple; google; meta; netflix; openai; oracle; tesla,9.585240647729512,0,0,0,0,0,0,True,True,True
H8KY02031,"GUTHRIE, S. BRETT BRETT HON.",REP,2026,KY,H,02,I,C,C00445023,PO BOX 22401,,LOUISVILLE,KY,40252,R,True,HOUSE-KY-02,1.0,1.0,C00445023,GUTHRIE FOR CONGRESS,H,1212409,758.0,96500,24.0,39,a16z; amazon; anthropic; coreweave; google; zoom,7.9593602488929065,0,0,0,0,0,0,True,True,True
S6MI00418,"EL-SAYED, ABDUL",DEM,2026,MI,S,00,O,C,C00902668,PO BOX 126,,ST CLAIR SHORES,MI,48080,D,True,SEN-MI,1.0,1.0,C00902668,ABDUL FOR U.S. SENATE,S,3886170,2984.0,92206,48.0,83,amazon; apple; google; meta; microsoft; netflix; nvidia; oracle; salesforce; tesla; uber,2.3726702640388866,50,0,50,0,50,50,True,True,True
S8GA00180,"OSSOFF, T. JONATHAN",DEM,2026,GA,S,00,I,C,C00718866,PO BOX 450326,,ATLANTA,GA,31145,D,True,SEN-GA,1.0,1.0,C00718866,JON OSSOFF FOR SENATE,S,13630369,34893.0,91535,121.0,454,amazon; amd; anduril; apple; coinbase; google; ibm; meta; microsoft; netflix; nvidia; oracle; qualcomm; ripple; salesforce; uber; x_twitter_spacex,0.6715518853524802,5047,362121,4027,213598,-357074,-209571,True,True,True
S6TX00479,"TALARICO, JAMES",DEM,2026,TX,S,00,C,C,C00919084,PO BOX 14508,,AUSTIN,TX,78761,D,True,SEN-TX,1.0,1.0,C00919084,TALARICO FOR TEXAS,S,8434385,13395.0,84968,150.0,347,amazon; amd; apple; ebay; google; ibm; meta; microsoft; netflix; nvidia; oracle; qualcomm; ripple; salesforce; stripe; tesla; uber; x_twitter_spacex,1.0074000653278217,1110596,0,1028096,0,1110596,1028096,True,True,True
S4SD00049,"ROUNDS, MIKE",REP,2026,SD,S,00,I,C,C00532465,PO BOX 250,,PIERRE,SD,575010250,R,True,SEN-SD,1.0,1.0,C00532465,ROUNDS FOR SENATE,S,786697,333.0,81043,17.0,34,a16z; anthropic; coinbase; google; openai; stripe,10.301679045426638,0,0,0,0,0,0,True,True,True
H4MO08162,"SMITH, JASON T",REP,2026,MO,H,08,I,C,C00541862,4570 S. HWY 19,,SALEM,MO,655608910,R,True,HOUSE-MO-08,2.0,1.0,C00541862; C00573436,JASON SMITH FOR CONGRESS; SMITH VICTORY,H; N,2989080,1056.0,79750,13.0,20,a16z; coinbase; google,2.6680450171959262,0,0,0,0,0,0,True,True,True
H8NY19223,"RYAN, PATRICK",DEM,2026,NY,H,18,I,C,C00815290,PO BOX 2113,,KINGSTON,NY,12402,D,True,HOUSE-NY-18,2.0,1.0,C00815290; C00832576,PAT RYAN FOR CONGRESS; PATRIOT PAC,H; Q,2755328,1220.0,77880,25.0,46,anduril; anthropic; google; greylock; ibm; kleiner; meta; palantir,2.8265237387345534,905,0,875,0,905,875,True,True,True
H4MN06087,"EMMER, THOMAS EARL JR.",REP,2026,MN,H,06,I,C,C00545749,PO BOX 279,,ELK RIVER,MN,55330,R,True,HOUSE-MN-06,2.0,1.0,C00545749; C00573444,EMMER FOR CONGRESS; EMMER VICTORY COMMITTEE DBA REPUBLICAN CONGRESSIONAL VICTORY COMMITTEE,H; N,3409917,4578.0,77113,11.0,24,amazon; anduril; coinbase; ibm; netflix; ripple,2.2614333428057045,0,0,0,0,0,0,True,True,True
H6CA04222,"JONES, ERIC",DEM,2026,CA,H,04,C,C,C00919100,2225 DRY CREEK RD.,,NAPA,CA,94558,D,True,HOUSE-CA-04,1.0,1.0,C00919100,ERIC JONES FOR CONGRESS,H,2607873,453.0,76750,14.0,25,a16z; accel; anthropic; apple; google; kleiner; meta; netflix; palantir; salesforce; sequoia; tesla,2.9430114119821016,0,0,0,0,0,0,True,True,True
S6FL00806,"MUJICA, HECTOR DANIEL",DEM,2026,FL,S,00,C,C,C00923342,122 C STREET NW,SUITE 360,WASHINGTON,DC,20001,D,True,SEN-FL,1.0,1.0,C00923342,HECTOR MUJICA FOR FLORIDA,S,376674,341.0,75830,52.0,77,amazon; google; meta; microsoft; nvidia; openai; oracle; ripple; stripe,20.131466467024538,0,0,0,0,0,0,True,True,True
S0CO00575,"HICKENLOOPER, JOHN W.",DEM,2026,CO,S,00,I,C,C00716720,PO BOX 300007,,DENVER,CO,80203,D,True,SEN-CO,1.0,1.0,C00716720,HICKENLOOPER FOR COLORADO,S,3053275,2724.0,66680,19.0,77,a16z; anthropic; coinbase; google; greylock; ibm; kleiner; meta; microsoft; netflix; openai,2.1838845174443833,192,0,0,0,192,0,True,True,True
H8CA05035,"PELOSI, NANCY",DEM,2026,CA,H,11,I,C,C00213512,235 MONTGOMERY STREET,SUITE 970,SAN FRANCISCO,CA,94104,D,True,HOUSE-CA-11,2.0,1.0,C00213512; C00492421,NANCY PELOSI FOR CONGRESS; NANCY PELOSI VICTORY FUND,H; N,1590708,2888.0,64537,11.0,35,amazon; apple; google; greylock; ibm; kleiner; microsoft; oracle; salesforce,4.057124249076511,0,0,0,0,0,0,True,True,True
H4CA16197,"LICCARDO, SAM T.",DEM,2026,CA,H,16,I,C,C00858688,1750 MERIDIAN AVE,#3925,SAN JOSE,CA,95125,D,True,HOUSE-CA-16,1.0,1.0,C00858688,LICCARDO FOR CONGRESS,H,1298918,609.0,61250,25.0,31,amd; apple; coinbase; google; ibm; kleiner; microsoft; nvidia; oracle; zoom,4.71546317781415,0,0,0,0,0,0,True,True,True
H4CA16049,"LOFGREN, ZOE",DEM,2026,CA,H,18,I,C,C00289603,"C/O CONTRIBUTION SOLUTIONS, LLC",1346 THE ALAMEDA #7-380,SAN JOSE,CA,95126,D,True,HOUSE-CA-18,1.0,1.0,C00289603,LOFGREN FOR CONGRESS,H,521996,523.0,61000,15.0,22,amazon; apple; google; kleiner; meta; nvidia; stripe,11.68591330201764,0,0,0,0,0,0,True,True,True
H4TX06216,"CORNWALLIS, ALEX",DEM,2026,TX,H,32,C,N,C00835504,1901 SWEETWATER LANE,,PROSPER,TX,75078,D,True,HOUSE-TX-32,1.0,1.0,C00835504,ALEX CORNWALLIS FOR CONGRESS,H,58931,1.0,58931,1.0,2,amazon,100.0,0,0,0,0,0,0,True,True,True
H0LA01087,"SCALISE, STEVE MR",REP,2026,LA,H,01,I,C,C00394957,PO BOX 23219,,JEFFERSON,LA,70183,R,True,HOUSE-LA-01,2.0,1.0,C00394957; C00568162,SCALISE FOR CONGRESS; SCALISE LEADERSHIP FUND,H; N,4405871,3053.0,58325,12.0,20,a16z; amazon; anduril; apple; meta; microsoft,1.3238018089953154,0,0,0,0,0,0,True,True,True
S6VA00093,"WARNER, MARK ROBERT",DEM,2026,VA,S,00,I,C,C00438713,201 NORTH UNION ST,SUITE 300,ALEXANDRIA,VA,22314,D,True,SEN-VA,1.0,1.0,C00438713,FRIENDS OF MARK WARNER,S,4100899,5182.0,52700,33.0,40,amazon; anduril; anthropic; coinbase; coreweave; google; microsoft; nvidia; palantir; zoom,1.285084075467355,80,0,0,0,80,0,True,True,True
H8NY22177,"RILEY, JOSH",DEM,2026,NY,H,19,I,C,C00793760,PO BOX 836,213 TIOGA STREET,ITHACA,NY,14851,D,True,HOUSE-NY-19,1.0,1.0,C00793760,JOSH RILEY FOR CONGRESS,H,1904965,1429.0,47400,17.0,45,a16z; anduril; apple; google; meta; openai; palantir,2.488234691975968,5316,0,2250,0,5316,2250,True,True,True
H0MA04192,"AUCHINCLOSS, JAKE",DEM,2026,MA,H,04,I,C,C00721449,PO BOX 600698,,NEWTONVILLE,MA,02460,D,True,HOUSE-MA-04,1.0,1.0,C00721449,JAKE AUCHINCLOSS FOR CONGRESS,H,1475486,738.0,46622,13.0,19,a16z; apple; google; ibm; kleiner; palantir,3.1597724410804306,0,0,0,0,0,0,True,True,True
S6FL00756,"WEIL, JOSHUA JOSEPH",DEM,2026,FL,S,00,C,C,C00893321,5800 BEACH BLVD.,STE 203-337,JACKSONVILLE,FL,32207,D,True,SEN-FL,1.0,1.0,C00893321,JOSH WEIL FOR SENATE,S,3570107,8262.0,45851,86.0,126,amazon; amd; apple; google; ibm; meta; microsoft; netflix; nvidia; openai; oracle; salesforce; stripe,1.2843032435722515,0,0,0,0,0,0,True,True,True
S6OH00304,"HUSTED, JON",REP,2026,OH,S,00,I,C,C00896019,PO BOX 6290,,COLUMBUS,OH,43206,R,True,SEN-OH,1.0,1.0,C00896019,HUSTED FOR SENATE,S,1971553,1446.0,45283,12.0,20,a16z; amd; google; microsoft; oracle; palantir,2.2968188022335694,581388,20897,331048,20897,560491,310151,True,True,True
H6DC00170,"ZALESNE, KINNEY",DEM,2026,DC,H,00,O,C,C00911842,4005 WISCONSIN AVENUE NW,PO BOX 5465,WASHINGTON,DC,20016,D,True,HOUSE-DC-00,1.0,1.0,C00911842,KINNEY FOR DC,H,515503,298.0,45050,13.0,19,google; meta; microsoft; openai,8.739037406183863,0,0,0,0,0,0,True,True,True
H4FL01197,"VALIMONT, JENNIFER GAY",DEM,2026,FL,H,01,C,C,C00941161,PO BOX 1258,,GULF BREEZE,FL,32562,D,True,HOUSE-FL-01,2.0,1.0,C00847137; C00941161,ENGAGE Y'ALL PAC; GAY VALIMONT FOR FLORIDA,H; W,2361398,5380.0,44725,78.0,97,amazon; amd; apple; google; ibm; meta; microsoft; netflix; nvidia; oracle; salesforce; stripe,1.8940051613493363,96409,0,91184,0,96409,91184,True,True,True
H6IL09319,"PYATI, NICK",DEM,2026,IL,H,09,O,C,C00912089,PO BOX 7004,,EVANSTON,IL,60204,D,True,HOUSE-IL-09,1.0,1.0,C00912089,PYATI FOR ILLINOIS,H,249741,200.0,44485,36.0,46,amazon; anthropic; google; meta; microsoft,17.81245370203531,0,0,0,0,0,0,True,True,True
H6WA09025,"SMITH, D. ADAM",DEM,2026,WA,H,09,I,C,C00304709,PO BOX 578,,RENTON,WA,98057,D,True,HOUSE-WA-09,1.0,1.0,C00304709,ADAM SMITH FOR CONGRESS COMMITTEE,H,426340,307.0,43200,19.0,25,a16z; amazon; anduril; microsoft; palantir,10.132757892761646,0,0,0,0,0,0,True,True,True
H6IL09178,"ABUGHAZALEH, KATHERINE M.",DEM,2026,IL,H,09,O,C,C00900449,PO BOX 267,,EVANSTON,IL,60204,D,True,HOUSE-IL-09,1.0,1.0,C00900449,KAT FOR ILLINOIS,H,1105211,2163.0,42440,77.0,246,amazon; apple; google; ibm; meta; microsoft; netflix; nvidia; oracle; qualcomm; salesforce,3.839990734800866,0,0,0,0,0,0,True,True,True
H4CA33119,"LIEU, TED",DEM,2026,CA,H,36,I,C,C00556506,777 S FIGUEROA ST SUITE 4050,,LOS ANGELES,CA,90017,D,True,HOUSE-CA-36,1.0,1.0,C00556506,TED LIEU FOR CONGRESS,H,634591,437.0,40500,10.0,15,anthropic; apple; google; ibm; netflix; openai; zoom,6.38206340776973,0,0,0,0,0,0,True,True,True
H8MI13250,"TLAIB, RASHIDA",DEM,2026,MI,H,12,I,C,C00668608,PO BOX 32777,,DETROIT,MI,48232,D,True,HOUSE-MI-12,1.0,1.0,C00668608,RASHIDA TLAIB FOR CONGRESS,H,1000800,1408.0,39398,29.0,117,amazon; apple; google; ibm; meta; microsoft; netflix; nvidia; oracle; qualcomm; salesforce,3.936650679456435,0,0,0,0,0,0,True,True,True
H8WI01156,"STEIL, BRYAN GEORGE",REP,2026,WI,H,01,I,C,C00677286,3709 BRIAR CREST DRIVE,,JANESVILLE,WI,535469389,R,True,HOUSE-WI-01,1.0,1.0,C00677286,"STEIL FOR WISCONSIN, INC.",H,701052,640.0,38600,8.0,12,amazon; coinbase; ripple,5.5060109663762455,0,0,0,0,0,0,True,True,True
H8NH01186,"SULLIVAN, MAURA CORBY",DEM,2026,NH,H,01,O,C,C00658724,PO BOX 4128,,MANCHESTER,NH,03108,D,True,HOUSE-NH-01,1.0,1.0,C00658724,MAURA SULLIVAN FOR CONGRESS,H,1506631,784.0,38500,11.0,17,google; kleiner; microsoft; palantir; x_twitter_spacex,2.5553702266845697,381,0,0,0,381,0,True,True,True
H4CA27111,"WHITESIDES, GEORGE",DEM,2026,CA,H,27,I,C,C00834028,P.O. BOX 221776,,NEWHALL,CA,91322,D,True,HOUSE-CA-27,1.0,1.0,C00834028,GEORGE WHITESIDES FOR CONGRESS,H,1749876,1086.0,38275,22.0,30,a16z; amazon; anduril; apple; google; khosla; kleiner; meta; microsoft; netflix; tesla; x_twitter_spacex,2.1872978428185768,209,4548,0,0,-4339,0,True,True,True
H4DE00045,"MCBRIDE, SARAH ELIZABETH",DEM,2026,DE,H,00,I,C,C00843763,PO BOX 1904,,WILMINGTON,DE,19899,D,True,HOUSE-DE-00,1.0,1.0,C00843763,MCBRIDE FOR DELAWARE INC.,H,2015781,1964.0,37800,34.0,66,amazon; anthropic; apple; google; ibm; meta; microsoft; oracle; salesforce; x_twitter_spacex,1.8752037051644004,10,0,0,0,10,0,True,True,True
H4NH02399,"GOODLANDER, MAGGIE",DEM,2026,NH,H,02,I,C,C00878454,600 PENNSYLVANIA AVE SE,UNIT 15180,WASHINGTON,DC,20003,D,True,HOUSE-NH-02,1.0,1.0,C00878454,MAGGIE FOR CONGRESS,H,1902269,1037.0,36750,15.0,19,amazon; anduril; apple; greylock; kleiner; meta; microsoft; openai; palantir,1.931903426907551,0,0,0,0,0,0,True,True,True
H8CA10126,"HARDER, JOSH",DEM,2026,CA,H,09,I,C,C00639146,P.O. BOX 4220,,MANTECA,CA,95337,D,True,HOUSE-CA-09,1.0,1.0,C00639146,JOSH HARDER FOR CONGRESS,H,1750828,1254.0,34352,22.0,42,a16z; amazon; anduril; apple; google; meta; microsoft; netflix; nvidia; stripe,1.9620431018923616,1092,4548,0,0,-3456,0,True,True,True
S4NJ00185,"BOOKER, CORY A.",DEM,2026,NJ,S,00,I,C,C00540500,8 LOMBARDY ST,BOX 346,NEWARK,NJ,07102,D,True,SEN-NJ,1.0,1.0,C00540500,CORY BOOKER FOR SENATE,S,4086065,10637.0,32411,49.0,106,a16z; anthropic; apple; coinbase; google; ibm; meta; microsoft; nvidia; openai; oracle; salesforce; x_twitter_spacex; zoom,0.7932081354555054,135,0,0,0,135,0,True,True,True
S6NH00141,"PAPPAS, CHRIS",DEM,2026,NH,S,00,O,C,C00660464,PO BOX 313,,MANCHESTER,NH,03105,D,True,SEN-NH,1.0,1.0,C00660464,CHRIS PAPPAS FOR SENATE,S,3990680,3616.0,31475,18.0,25,amazon; anduril; apple; google; meta; microsoft; nvidia; oracle; palantir; uber,0.7887127005923802,1187,0,0,0,1187,0,True,True,True
H8WA08189,"SCHRIER, KIM DR.",DEM,2026,WA,H,08,I,C,C00652628,PO BOX 2728,,ISSAQUAH,WA,98027,D,True,HOUSE-WA-08,1.0,1.0,C00652628,DR KIM SCHRIER FOR CONGRESS,H,1157750,1130.0,30392,22.0,71,amazon; amd; apple; google; meta; microsoft,2.625091772835241,106,0,0,0,106,0,True,True,True
H0MI02094,"HUIZENGA, WILLIAM P",REP,2026,MI,H,04,I,C,C00459297,14071 GEORGIAN BAY DR,,HOLLAND,MI,49424,R,True,HOUSE-MI-04,2.0,1.0,C00459297; C00580043,HUIZENGA FOR CONGRESS; TEAM HUIZENGA,H; N,843034,450.0,30333,7.0,10,a16z; coinbase; ripple,3.598075522458169,0,0,0,0,0,0,True,True,True
S6MI00392,"MCMORROW, MALLORY",DEM,2026,MI,S,00,O,C,C00901173,PO BOX 226,,ROYAL OAK,MI,48068,D,True,SEN-MI,1.0,1.0,C00901173,MCMORROW FOR MICHIGAN,S,2798639,3571.0,30060,23.0,48,google; meta; microsoft; netflix; nvidia; palantir; tesla; x_twitter_spacex,1.0740935147405577,50,0,50,0,50,50,True,True,True
H2NV04011,"HORSFORD, STEVEN ALEXZANDER",DEM,2026,NV,H,04,I,C,C00668228,PO BOX 336664,,LAS VEGAS,NV,89033,D,True,HOUSE-NV-04,1.0,1.0,C00668228,NEVADANS FOR STEVEN HORSFORD,H,703365,471.0,30000,12.0,17,a16z; coinbase; ibm; meta; microsoft; netflix; palantir,4.265210808044188,6141,0,0,0,6141,0,True,True,True
H6IL08147,"KRISHNAMOORTHI, S. RAJA",DEM,2026,IL,H,08,I,C,C00575092,PO BOX 681202,,SCHAUMBURG,IL,60168,D,True,HOUSE-IL-08,1.0,1.0,C00575092,FRIENDS OF RAJA FOR CONGRESS,H,2935986,753.0,29997,7.0,11,amd; google; ibm; meta; microsoft; palantir; qualcomm,1.0217010571576295,0,0,0,0,0,0,True,True,True
H2OK04055,"COLE, TOM",REP,2026,OK,H,04,I,C,C00379735,PO BOX 722256,,NORMAN,OK,73070,R,True,HOUSE-OK-04,2.0,1.0,C00379735; C00438481,COLE COMBINED COMMITTEE; COLE FOR CONGRESS,H; N,1597798,775.0,29000,8.0,10,anduril; oracle; palantir,1.8149978908472788,0,0,0,0,0,0,True,True,True
H4MI08218,"MCDONALD RIVET, KRISTEN",DEM,2026,MI,H,08,I,C,C00864207,PO BOX 854,,BAY CITY,MI,48707,D,True,HOUSE-MI-08,1.0,1.0,C00864207,KRISTEN FOR MICHIGAN,H,1773988,1185.0,28678,16.0,18,a16z; amazon; coinbase; google; ibm; kleiner; meta; microsoft; netflix; qualcomm,1.6165836522005785,179,0,0,0,179,0,True,True,True
S0NM00058,"LUJAN, BEN RAY",DEM,2026,NM,S,00,I,C,C00443689,PO BOX 25371,,ALBUQUERQUE,NM,87125,D,True,SEN-NM,1.0,1.0,C00443689,PEOPLE FOR BEN,S,1009510,1744.0,28550,13.0,19,a16z; apple; coinbase; google; microsoft,2.8281047240740556,309,0,0,0,309,0,True,True,True
H8NY06048,"MEEKS, GREGORY W.",DEM,2026,NY,H,05,I,C,C00430991,153-01 JAMAICA AVENUE,SUITE 205,JAMAICA,NY,11432,D,True,HOUSE-NY-05,1.0,1.0,C00430991,FRIENDS FOR GREGORY MEEKS,H,290710,180.0,28500,5.0,9,anthropic; google,9.803584328024492,0,0,0,0,0,0,True,True,True
S6ME00373,"PLATNER, GRAHAM",DEM,2026,ME,S,00,C,C,C00916437,PO BOX 570,,ELLSWORTH,ME,04605,D,True,SEN-ME,1.0,1.0,C00916437,GRAHAM FOR MAINE,S,2172644,4211.0,28272,53.0,94,amazon; apple; coreweave; google; meta; microsoft; nvidia; oracle; qualcomm; salesforce,1.3012716303269196,525,0,525,0,525,525,True,True,True
H4MA05084,"CLARK, KATHERINE",DEM,2026,MA,H,05,I,C,C00541888,600 PENNSYLVANIA AVE SE,#15180,WASHINGTON,DC,20003,D,True,HOUSE-MA-05,1.0,1.0,C00541888,KATHERINE CLARK FOR CONGRESS,H,685170,496.0,26800,12.0,14,anduril; google; microsoft,3.9114380372754205,0,0,0,0,0,0,True,True,True
H6NY17171,"CONLEY, CAIT",DEM,2026,NY,H,17,C,C,C00900431,PO BOX 96,,OSSINING,NY,10562,D,True,HOUSE-NY-17,1.0,1.0,C00900431,CAIT FOR NEW YORK,H,1398108,980.0,26660,16.0,31,amazon; anduril; coinbase; google; greylock; meta; microsoft; openai; salesforce; tesla,1.9068627030243728,381,0,0,0,381,0,True,True,True
S6MA00296,"MOULTON, SETH",DEM,2026,MA,S,00,C,C,C00547240,PO BOX 2013,,SALEM,MA,01970,D,True,SEN-MA,1.0,1.0,C00547240,"SETH FOR MASSACHUSETTS, INC",S,2425547,1389.0,26583,9.0,16,amazon; coinbase; google; meta; netflix; uber; union_square_ventures,1.0959589733779638,0,0,0,0,0,0,True,True,True
H6NJ07201,"BENNETT, REBECCA",DEM,2026,NJ,H,07,C,C,C00897165,39 DIVISION STREET,PO BOX 139,SOMERVILLE,NJ,08876,D,True,HOUSE-NJ-07,1.0,1.0,C00897165,REBECCA BENNETT FOR CONGRESS,H,1566404,1103.0,26550,22.0,29,amazon; anduril; apple; coreweave; google; ibm; meta; microsoft; palantir; salesforce; stripe,1.6949650281791926,0,0,0,0,0,0,True,True,True
